lat,lon,mag,time,t
-31.1388,-71.9383,4.1,2015-10-12 05:10:19,962205.0
13.9043,-92.3265,4.2,2015-10-12 05:50:58,964644.0
18.9965,-64.8015,3.0,2015-10-12 06:42:07,967713.0
17.9811,-66.8636,2.1,2015-10-12 06:57:20,968626.0
-29.6534,-71.7064,4.5,2015-10-12 06:58:57,968723.0
18.281,-66.0167,3.0,2015-10-12 10:12:07,980313.0
-30.429000000000002,-71.684,4.2,2015-10-12 10:27:59,981265.0
18.8164,-64.3165,3.1,2015-10-12 11:42:07,985713.0
-31.1368,-71.9608,4.5,2015-10-12 14:09:42,994568.0
-31.1283,-71.8206,4.0,2015-10-12 14:47:59,996865.0
-30.5627,-71.697,4.2,2015-10-12 14:59:21,997547.0
12.8958,-88.4702,4.7,2015-10-12 15:18:53,998719.0
-30.784000000000002,-71.5077,4.6,2015-10-12 16:01:02,1001248.0
-30.5918,-71.7146,4.6,2015-10-12 16:46:43,1003989.0
-33.391999999999996,-72.368,4.2,2015-10-12 17:07:22,1005228.0
18.7035,-66.0643,2.2,2015-10-12 17:23:10,1006176.0
18.9013,-65.86,2.8,2015-10-12 18:49:29,1011355.0
18.915,-65.8615,3.2,2015-10-12 18:52:53,1011559.0
-30.4915,-72.1614,4.3,2015-10-12 23:30:26,1028212.0
18.2856,-68.0565,3.3,2015-10-12 23:57:02,1029808.0
-30.713,-71.575,4.1,2015-10-13 00:15:14,1030900.0
-30.4356,-71.622,4.4,2015-10-13 01:05:31,1033917.0
-22.6921,-66.3403,4.1,2015-10-13 05:32:54,1049960.0
19.9756,-75.8527,4.0,2015-10-13 07:07:27,1055633.0
15.2675,-91.9282,4.2,2015-10-13 07:19:41,1056367.0
-30.0825,-71.9132,4.3,2015-10-13 09:17:17,1063423.0
-34.0847,-72.3796,4.2,2015-10-13 09:29:03,1064129.0
17.8932,-68.6345,3.5,2015-10-13 09:47:32,1065238.0
18.7178,-67.02600000000001,2.8,2015-10-13 11:01:39,1069685.0
-30.5903,-71.4013,4.3,2015-10-13 11:16:25,1070571.0
-27.6585,-70.7834,4.2,2015-10-13 12:45:55,1075941.0
18.0076,-66.8155,2.1,2015-10-13 14:49:19,1083345.0
18.8122,-65.2713,3.0,2015-10-13 15:14:36,1084862.0
18.0778,-65.0233,2.8,2015-10-13 15:44:46,1086672.0
18.0287,-68.2656,3.3,2015-10-13 17:43:23,1093789.0
-31.7512,-72.1625,3.9,2015-10-13 17:46:58,1094004.0
-31.2252,-71.57,4.1,2015-10-13 19:33:02,1100368.0
-55.6369,-27.6107,4.6,2015-10-13 20:13:17,1102783.0
-30.9269,-72.1397,4.0,2015-10-13 23:25:58,1114344.0
-30.3953,-71.8561,4.2,2015-10-14 03:48:00,1130066.0
18.0541,-65.4178,2.5,2015-10-14 04:34:39,1132865.0
18.7437,-68.6372,3.4,2015-10-14 06:08:37,1138503.0
18.2691,-66.405,2.4,2015-10-14 06:48:24,1140890.0
13.0235,-88.7959,4.1,2015-10-14 07:31:52,1143498.0
7.6522,-73.3038,5.0,2015-10-14 07:47:18,1144424.0
-31.264,-71.46,4.2,2015-10-14 08:35:37,1147323.0
-33.358000000000004,-72.6858,4.4,2015-10-14 11:30:42,1157828.0
-22.575,-68.71,4.3,2015-10-14 12:56:09,1162955.0
19.2196,-67.7011,2.8,2015-10-14 15:24:30,1171856.0
18.8269,-67.1744,2.6,2015-10-14 18:19:47,1182373.0
19.2587,-105.3228,4.5,2015-10-15 00:48:17,1205683.0
14.5373,-92.7457,4.2,2015-10-15 02:53:58,1213224.0
18.9985,-65.4722,2.8,2015-10-15 04:49:49,1220175.0
16.6626,-93.4416,4.4,2015-10-15 07:13:24,1228790.0
-2.5015,-78.7623,5.4,2015-10-15 10:07:28,1239234.0
-30.8217,-71.8166,4.7,2015-10-15 11:03:11,1242577.0
17.9106,-67.18,1.5,2015-10-15 12:44:29,1248655.0
19.1413,-64.4042,2.9,2015-10-15 13:39:02,1251928.0
18.1881,-67.2622,2.1,2015-10-15 13:51:45,1252691.0
18.5981,-65.6102,2.9,2015-10-15 17:57:32,1267438.0
-22.7367,-68.9815,4.5,2015-10-15 18:01:31,1267677.0
10.306,-60.4299,4.3,2015-10-15 18:12:23,1268329.0
-30.5632,-71.6201,4.9,2015-10-15 19:23:22,1272588.0
-34.8999,-108.125,4.8,2015-10-15 19:56:46,1274592.0
-30.5745,-71.6555,4.2,2015-10-15 20:39:01,1277127.0
-30.6214,-71.8278,4.0,2015-10-15 22:18:45,1283111.0
19.322,-64.8831,2.6,2015-10-16 04:03:20,1303786.0
-19.9738,-68.7246,4.7,2015-10-16 04:43:55,1306221.0
18.7175,-66.2352,2.5,2015-10-16 05:31:30,1309076.0
17.9598,-66.5258,2.1,2015-10-16 06:32:14,1312720.0
-30.5689,-71.4396,4.1,2015-10-16 06:50:35,1313821.0
-19.9603,-66.7685,4.9,2015-10-16 07:18:40,1315506.0
-31.4359,-71.937,4.2,2015-10-16 12:49:09,1335335.0
-30.5265,-71.7478,4.1,2015-10-16 16:58:27,1350293.0
8.39,-103.2821,4.7,2015-10-16 18:45:44,1356730.0
8.6608,-103.2096,4.5,2015-10-16 18:48:17,1356883.0
10.7556,-62.8778,4.7,2015-10-17 00:57:01,1379007.0
19.1662,-64.7778,3.3,2015-10-17 01:11:42,1379888.0
19.273,-64.8555,2.4,2015-10-17 01:37:46,1381452.0
19.2579,-68.383,3.3,2015-10-17 01:40:23,1381609.0
18.0205,-67.1156,1.8,2015-10-17 05:00:24,1393610.0
6.827999999999999,-73.141,4.1,2015-10-17 05:53:45,1396811.0
17.996,-68.2465,3.4,2015-10-17 06:15:13,1398099.0
-20.581999999999997,-70.7838,4.5,2015-10-17 07:01:27,1400873.0
-31.6684,-72.1311,4.2,2015-10-17 08:38:55,1406721.0
18.4305,-67.467,2.4,2015-10-17 09:13:51,1408817.0
17.7845,-67.9627,2.8,2015-10-17 09:18:15,1409081.0
-25.4674,-64.4839,5.8,2015-10-17 11:33:08,1417174.0
-55.7445,-27.546,5.0,2015-10-17 11:39:05,1417531.0
13.3627,-89.9712,4.4,2015-10-17 14:17:37,1427043.0
18.1525,-64.655,3.0,2015-10-17 14:20:34,1427220.0
-31.3989,-72.1127,4.4,2015-10-17 15:11:44,1430290.0
18.642,-68.0609,2.8,2015-10-17 15:43:08,1432174.0
18.0844,-67.1409,1.9,2015-10-17 16:42:34,1435740.0
-42.6607,-82.4526,5.6,2015-10-17 17:52:19,1439925.0
-9.4402,-79.2779,4.2,2015-10-17 17:52:57,1439963.0
-31.7436,-71.9705,4.0,2015-10-17 20:32:06,1449512.0
17.9573,-65.9513,2.3,2015-10-17 20:34:49,1449675.0
18.9197,-64.3807,2.5,2015-10-17 22:19:47,1455973.0
19.4617,-65.3247,3.4,2015-10-18 00:27:37,1463643.0
19.3913,-65.3485,3.3,2015-10-18 00:31:51,1463897.0
18.0289,-68.4065,3.2,2015-10-18 01:26:37,1467183.0
19.2651,-64.8367,2.5,2015-10-18 01:35:58,1467744.0
-27.0674,-112.2751,4.4,2015-10-18 02:38:27,1471493.0
18.9775,-68.262,3.1,2015-10-18 02:57:12,1472618.0
17.9885,-67.0524,1.6,2015-10-18 03:04:47,1473073.0
18.1245,-66.044,1.9,2015-10-18 03:17:00,1473806.0
-35.5083,-103.9181,4.7,2015-10-18 04:44:50,1479076.0
19.0181,-63.7709,2.9,2015-10-18 05:51:45,1483091.0
18.4395,-67.3957,1.9,2015-10-18 06:39:02,1485928.0
17.8411,-66.1794,2.6,2015-10-18 09:22:34,1495740.0
18.0746,-66.2701,2.7,2015-10-18 10:49:08,1500934.0
19.0347,-64.7005,3.1,2015-10-18 11:47:22,1504428.0
-35.969,-72.668,4.8,2015-10-18 12:48:43,1508109.0
18.086,-64.164,3.1,2015-10-18 12:50:08,1508194.0
17.9874,-67.1153,2.0,2015-10-18 13:04:48,1509074.0
18.6,-68.0084,2.5,2015-10-18 13:28:01,1510467.0
-36.1137,-73.7941,4.1,2015-10-18 16:53:18,1522784.0
18.531,-67.4275,2.0,2015-10-18 17:00:08,1523194.0
-30.1732,-72.6303,4.4,2015-10-18 21:23:52,1539018.0
-31.3226,-72.2657,4.0,2015-10-18 23:01:15,1544861.0
19.5013,-66.2677,2.9,2015-10-19 00:13:24,1549190.0
-55.9562,-27.5243,4.4,2015-10-19 01:12:14,1552720.0
18.8269,-64.5473,2.1,2015-10-19 01:22:22,1553328.0
-34.8029,-71.6718,4.6,2015-10-19 02:41:00,1558046.0
-38.1623,-75.1155,4.2,2015-10-19 03:06:34,1559580.0
-30.2852,-72.2484,4.5,2015-10-19 04:37:12,1565018.0
-55.3206,-27.9528,4.2,2015-10-19 05:22:04,1567710.0
-21.1965,-68.6881,4.3,2015-10-19 05:43:51,1569017.0
18.7355,-67.6396,3.2,2015-10-19 05:57:23,1569829.0
4.8505,-82.7527,4.1,2015-10-19 08:42:56,1579762.0
17.8365,-67.6075,2.6,2015-10-19 08:51:03,1580249.0
-30.2687,-71.9793,4.5,2015-10-19 09:28:41,1582507.0
-33.4872,-70.8707,4.7,2015-10-19 14:37:51,1601057.0
-31.3436,-72.2126,4.1,2015-10-19 17:27:21,1611227.0
-30.7077,-71.44,4.4,2015-10-19 17:57:02,1613008.0
17.4447,-64.9244,3.1,2015-10-19 19:35:59,1618945.0
18.9414,-64.931,3.0,2015-10-19 19:47:57,1619663.0
-35.7708,-101.7953,4.6,2015-10-19 20:27:21,1622027.0
-36.2441,-99.90799999999999,4.4,2015-10-19 20:30:56,1622242.0
19.5545,-65.5288,3.4,2015-10-19 20:45:28,1623114.0
18.9759,-67.8391,3.3,2015-10-19 20:57:37,1623843.0
18.9633,-67.7502,3.0,2015-10-19 21:45:06,1626692.0
19.0655,-67.7906,2.8,2015-10-19 22:27:39,1629245.0
19.4258,-66.355,3.4,2015-10-19 22:31:52,1629498.0
-31.1618,-71.7506,4.2,2015-10-19 22:34:49,1629675.0
18.0919,-65.0392,2.4,2015-10-19 23:33:27,1633193.0
-55.2355,-27.9475,4.4,2015-10-20 00:19:27,1635953.0
18.5105,-67.5552,2.4,2015-10-20 01:32:56,1640362.0
-55.7504,-27.8638,4.3,2015-10-20 01:58:21,1641887.0
18.947,-64.398,2.4,2015-10-20 02:24:35,1643461.0
18.8969,-64.2918,3.0,2015-10-20 02:30:05,1643791.0
18.8943,-64.2655,2.8,2015-10-20 02:45:01,1644687.0
17.9951,-65.587,2.7,2015-10-20 02:52:47,1645153.0
18.61,-66.96,2.3,2015-10-20 03:04:05,1645831.0
18.8563,-67.459,3.0,2015-10-20 03:31:14,1647460.0
-29.973000000000003,-71.1056,3.9,2015-10-20 04:01:28,1649274.0
-30.7726,-71.4885,4.7,2015-10-20 04:06:54,1649600.0
-30.7412,-71.4384,4.1,2015-10-20 04:15:20,1650106.0
-30.7867,-71.4045,5.0,2015-10-20 10:06:14,1671160.0
18.9988,-65.3933,3.1,2015-10-20 10:07:56,1671262.0
18.2404,-61.0634,4.6,2015-10-20 13:57:50,1685056.0
-29.9607,-72.2611,4.3,2015-10-20 16:43:31,1694997.0
-20.5458,-70.6956,3.9,2015-10-20 19:03:09,1703375.0
18.3761,-64.9207,2.8,2015-10-20 19:41:01,1705647.0
18.0911,-65.5818,1.8,2015-10-20 20:13:22,1707588.0
-57.4332,-65.8872,5.6,2015-10-20 20:33:12,1708778.0
