time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2015-10-02T15:04:17.000Z,-30.5332,-71.358,49.1,3.9,mb,,,,0.92,us,us10003js0,2016-01-04T22:28:46.040Z,"16km WNW of Ovalle, Chile",earthquake,8.4,6.7,0.363,2,reviewed,guc,us
2015-10-02T16:22:47.000Z,-30.579,-71.6,32.5,4.9,mwr,,,,1.31,us,us10003jsh,2016-02-19T01:56:29.000Z,"38km W of Ovalle, Chile",earthquake,3.6,4.6,,,reviewed,guc,guc
2015-10-02T16:33:27.300Z,-31.0024,-72.834,10,4.9,mww,,87,1.082,1.07,us,us10003jsk,2016-02-19T01:56:30.000Z,"162km WSW of Ovalle, Chile",earthquake,6.3,1.9,,,reviewed,us,us
2015-10-02T18:37:51.200Z,19.2973,-66.182,46,3.3,Md,19,230.4,0.87945066,0.34,pr,pr15275011,2016-01-04T22:28:48.040Z,"92km N of San Juan, Puerto Rico",earthquake,2.2,8.8,0,18,reviewed,pr,pr
2015-10-02T19:06:31.100Z,19.3892,-66.1143,40,3.4,Md,15,259.2,0.98814681,0.27,pr,pr15275012,2016-01-04T22:28:48.040Z,"102km N of San Juan, Puerto Rico",earthquake,1.7,9.4,0,10,reviewed,pr,pr
2015-10-02T19:26:13.100Z,19.5163,-63.8768,31,3.3,Md,11,316.8,0.89292539,0.18,pr,pr15275013,2016-01-04T22:28:48.040Z,"144km NNE of Road Town, British Virgin Islands",earthquake,1.9,11.8,0,9,reviewed,pr,pr
2015-10-02T19:42:49.000Z,-30.988,-72.563,25,4.2,mb,,,,1.44,us,us10003na7,2016-01-04T22:28:48.040Z,"137km WSW of Ovalle, Chile",earthquake,2.4,5.2,0.2,8,reviewed,guc,us
2015-10-02T20:02:40.000Z,-31.082,-71.334,58.3,4,ml,,,,0.71,us,us10003jw7,2016-01-04T22:28:48.040Z,"55km SSW of Ovalle, Chile",earthquake,4.5,4.9,,,reviewed,guc,guc
2015-10-02T22:23:00.000Z,-30.736,-71.35,52.7,4,ml,,,,0.59,us,us10003na3,2016-01-04T22:28:49.040Z,"20km SW of Ovalle, Chile",earthquake,6,8.3,,,reviewed,guc,guc
2015-10-03T00:20:29.000Z,-33.798,-71.915,36.4,4.3,mb,,,,0.74,us,us10003jxq,2016-01-04T22:28:49.040Z,"35km SW of San Antonio, Chile",earthquake,3.7,5.4,0.201,7,reviewed,guc,us
2015-10-03T01:37:49.750Z,-30.599,-72.701,10,4.2,mb,,152,0.921,0.82,us,us10003jxv,2016-01-04T22:28:50.040Z,"143km W of Ovalle, Chile",earthquake,4.4,1.9,0.215,6,reviewed,us,us
2015-10-03T04:26:25.010Z,-32.8147,-72.1442,14,4,mwr,,149,0.474,0.69,us,us10003jy7,2016-01-04T22:28:51.040Z,"54km WNW of Valparaiso, Chile",earthquake,5.6,3.7,0.042,54,reviewed,us,us
2015-10-03T05:22:52.330Z,-3.3756,-77.6498,47.45,4.4,mb,,93,3.677,1.14,us,us10003jyh,2016-01-04T22:28:51.040Z,"100km E of Gualaquiza, Ecuador",earthquake,9.3,7.8,0.093,33,reviewed,us,us
2015-10-03T05:31:26.400Z,18.0235,-65.3886,19,2.7,Md,4,234,0.17247653,0.15,pr,pr15276000,2016-01-04T22:28:51.040Z,"11km SE of Esperanza, Puerto Rico",earthquake,1.9,0.7,0,4,reviewed,pr,pr
2015-10-03T05:35:53.500Z,18.5464,-67.4384,15,2.5,Md,5,270,0.16618833,0.17,pr,pr15276001,2016-01-04T22:28:52.040Z,"30km NW of Rincon, Puerto Rico",earthquake,1.1,0.8,0,4,reviewed,pr,pr
2015-10-03T06:03:42.080Z,-37.4557,-73.6761,14.53,5.8,mww,,118,2.02,0.84,us,us10003jyn,2016-02-19T01:56:34.000Z,"18km N of Lebu, Chile",earthquake,3.8,3.4,,,reviewed,us,us
2015-10-03T06:26:55.780Z,-30.301,-71.551,38,5.9,mww,,57,0.378,0.75,us,us10003jyt,2016-02-19T01:56:35.000Z,"43km SSW of Coquimbo, Chile",earthquake,4.1,1.8,,,reviewed,us,us
2015-10-03T06:51:15.550Z,14.2707,-92.9427,47.07,4.6,mb,,169,0.911,0.95,us,us10003jyz,2016-01-04T22:28:53.040Z,"75km SW of Puerto Madero, Mexico",earthquake,7.2,8.5,0.073,56,reviewed,us,us
2015-10-03T07:20:00.350Z,-30.3303,-71.4784,38.33,4.3,mb,,135,0.368,0.75,us,us10003jz3,2016-01-04T22:28:53.040Z,"39km NW of Ovalle, Chile",earthquake,7.5,9.3,0.238,5,reviewed,us,us
2015-10-03T07:42:57.050Z,-32.2357,-72.1225,5.78,4.3,mb,,189,0.885,0.67,us,us10003jz5,2016-01-04T22:28:53.040Z,"87km WNW of La Ligua, Chile",earthquake,4,5.7,0.218,6,reviewed,us,us
